Question Type,Temperature,Method,Hop Type,Industry Type,Specificity,Faithfulness,Relevancy,Single Best Answer,Negative Questions,Multi-hop Questions,BLEU,ROUGE
MCQ,0.0,cross,single_hop,cross,6,10,8.5,1,0,1,,
MCQ,0.0,cross,single_hop,cross,4,6,7.5,0,0,0,,
MCQ,0.0,cross,multi_hop,cross,9,9,10.0,0,0,0,,
MCQ,0.0,cross,multi_hop,cross,7,6,7.5,0,0,1,,
MCQ,0.2,cross,single_hop,cross,6,9,8.0,1,0,1,,
MCQ,0.2,cross,single_hop,cross,6,6,7.5,0,0,0,,
MCQ,0.2,cross,multi_hop,cross,9,9,7.5,1,0,0,,
MCQ,0.2,cross,multi_hop,cross,6,6,7.5,0,0,1,,
MCQ,1.0,cross,single_hop,cross,7,9,8.0,1,0,0,,
MCQ,1.0,cross,single_hop,cross,8,6,4.5,0,0,1,,
MCQ,1.0,cross,multi_hop,cross,5,4,5.0,0,0,1,,
MCQ,1.0,cross,multi_hop,cross,6,5,7.5,0,0,1,,
MCQ,0.0,cross,single_hop,cross,6,9,8.0,1,0,1,,
MCQ,0.0,cross,single_hop,cross,8,9,8.5,1,0,1,,
MCQ,0.0,cross,multi_hop,cross,9,9,8.0,1,0,0,,
MCQ,0.0,cross,multi_hop,cross,6,6,7.5,0,0,1,,
MCQ,0.2,cross,single_hop,cross,6,10,8.5,1,0,1,,
MCQ,0.2,cross,single_hop,cross,4,6,7.5,0,0,0,,
MCQ,0.2,cross,multi_hop,cross,8,9,8.0,0,0,0,,
MCQ,0.2,cross,multi_hop,cross,7,6,7.5,0,0,1,,
MCQ,0.5,cross,single_hop,cross,7,9,8.0,1,0,1,,
MCQ,0.5,cross,single_hop,cross,8,6,7.5,0,0,1,,
MCQ,0.5,cross,multi_hop,cross,7,6,5.0,0,0,0,,
MCQ,0.5,cross,multi_hop,cross,9,9,8.5,0,0,1,,
MCQ,0.5,cross,single_hop,cross,6,9,8.0,1,0,1,,
MCQ,0.5,cross,single_hop,cross,8,8,6.0,1,0,1,,
MCQ,0.5,cross,multi_hop,cross,9,9,8.5,0,0,1,,
MCQ,0.5,cross,multi_hop,cross,7,6,7.5,0,0,1,,
MCQ,1.0,cross,single_hop,cross,6,9,8.0,1,0,0,,
MCQ,1.0,cross,single_hop,cross,5,6,7.5,0,0,0,,
MCQ,1.0,cross,multi_hop,cross,9,9,9.0,0,0,1,,
MCQ,1.0,cross,multi_hop,cross,8,8,7.0,1,0,0,,
MCQ,1.0,cross,single_hop,cross,7,7,8.0,1,0,0,,
MCQ,1.0,cross,single_hop,cross,4,9,7.5,1,0,1,,
MCQ,1.0,cross,multi_hop,cross,6,5,7.5,1,0,1,,
MCQ,1.0,cross,multi_hop,cross,10,9,7.5,1,0,1,,
MCQ,0.5,cross,single_hop,cross,6,9,8.0,1,0,1,,
MCQ,0.5,cross,single_hop,cross,7,7,7.0,0,0,0,,
MCQ,0.5,cross,multi_hop,cross,9,10,10.0,0,0,1,,
MCQ,0.5,cross,multi_hop,cross,6,4,5.5,0,0,1,,
MCQ,0.0,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,0.0,local,single_hop,local,9,10,10.0,1,0,0,,
MCQ,0.0,local,single_hop,local,6,6,8.0,1,0,0,,
MCQ,0.0,local,single_hop,local,10,9,8.0,1,0,0,,
MCQ,0.0,local,multi_hop,local,8,8,9.0,1,0,0,,
MCQ,0.0,local,multi_hop,local,9,10,10.0,1,0,0,,
MCQ,0.0,local,multi_hop,local,7,6,8.0,0,0,1,,
