Question Type,Temperature,Method,Hop Type,Industry Type,Specificity,Faithfulness,Relevancy,Single Best Answer,Negative Questions,Multi-hop Questions,BLEU,ROUGE
Free-text,0.0,cross,single_hop,cross,9,9,8.5,0,0,1,0.36698822567698836,0.7579617786603918
Free-text,0.0,cross,single_hop,cross,8,7,8.5,0,0,1,4.423308370369201e-15,0.057971012985133887
Free-text,0.0,cross,multi_hop,cross,9,10,8.5,0,0,1,7.100151042565986e-12,0.05102040683673473
Free-text,0.0,cross,multi_hop,cross,9,5,6.5,0,0,1,7.194427197457061e-06,0.19323671285210858
Free-text,0.2,cross,single_hop,cross,9,8,8.5,0,0,1,0.897014723412426,0.9537036987075618
Free-text,0.2,cross,single_hop,cross,8,5,7.0,0,0,1,9.060140240821136e-11,0.04999999781250009
Free-text,0.2,cross,multi_hop,cross,9,9,8.5,0,0,1,3.927184467410605e-08,0.1437908474979709
Free-text,0.2,cross,multi_hop,cross,9,4,5.5,0,0,1,0.0011319451329104154,0.26347305072107285
Free-text,0.0,cross,single_hop,cross,6,4,5.0,0,0,1,1.0,0.999999995
Free-text,0.0,cross,single_hop,cross,8,5,6.5,0,0,1,1.0,0.999999995
Free-text,0.0,cross,multi_hop,cross,9,9,8.0,0,0,1,1.0955059460617961e-07,0.11940298285921146
Free-text,0.0,cross,multi_hop,cross,9,7,8.0,0,0,1,0.07728338834583949,0.22857142426122457
Free-text,0.2,cross,single_hop,cross,9,9,8.5,0,0,1,0.7920287378703413,0.9230769180843196
Free-text,0.2,cross,single_hop,cross,8,6,7.5,0,0,1,2.3360147835821103e-15,0.05479451915462567
Free-text,0.2,cross,multi_hop,cross,9,9,8.5,0,0,1,5.189371222480179e-10,0.05847953066037417
Free-text,0.2,cross,multi_hop,cross,7,4,5.5,0,0,1,0.46292154078914455,0.7021276546310549
Free-text,0.0,cross,single_hop,cross,9,9,8.0,0,0,1,0.773289000097492,0.8989898939919396
Free-text,0.0,cross,single_hop,cross,6,6,8.0,0,0,1,1.1216043240088111e-05,0.05042016549961174
Free-text,0.0,cross,multi_hop,cross,9,9,8.0,0,0,1,7.867542211222801e-07,0.12068965292063026
Free-text,0.0,cross,multi_hop,cross,9,7,8.0,0,0,1,0.07244604665724022,0.23529411349480975
Free-text,0.0,cross,single_hop,cross,9,7,8.5,0,0,1,0.897014723412426,0.9537036987075618
Free-text,0.0,cross,single_hop,cross,8,4,5.5,0,0,1,1.561687516802194e-06,0.06153845843195283
Free-text,0.0,cross,multi_hop,cross,9,8,8.5,0,0,1,1.563580131097568e-08,0.05263157685941837
Free-text,0.0,cross,multi_hop,cross,8,4,5.5,0,0,1,0.0010777862769988432,0.25149700281688125
Free-text,0.2,cross,single_hop,cross,8,6,7.5,0,0,1,4.10317856845503e-06,0.03333333066805577
Free-text,0.2,cross,single_hop,cross,8,7,8.0,0,0,1,0.32018425159895963,0.5624999950195313
Free-text,0.2,cross,multi_hop,cross,9,7,8.0,0,0,1,0.07244604665724022,0.23529411349480975
Free-text,0.2,cross,multi_hop,cross,7,6,7.5,0,0,1,0.7093363614296314,0.7636363587173554
Free-text,0.2,cross,single_hop,cross,6,5,6.0,0,0,1,1.0,0.999999995
Free-text,0.2,cross,single_hop,cross,9,7,8.0,0,0,1,1.0,0.999999995
Free-text,0.2,cross,multi_hop,cross,10,9,8.0,0,0,1,3.052690089366377e-08,0.09638554042676734
Free-text,0.2,cross,multi_hop,cross,9,5,6.5,0,0,1,0.0026361063558591733,0.1724137902497028
Free-text,0.2,cross,single_hop,cross,9,9,8.5,0,0,1,0.5596454950766666,0.7012986963197841
Free-text,0.2,cross,single_hop,cross,6,6,8.0,0,0,1,0.001018206834436184,0.0350877152600805
Free-text,0.2,cross,multi_hop,cross,9,9,8.0,0,0,1,3.3150181890013094e-05,0.12244897685964186
Free-text,0.2,cross,multi_hop,cross,7,4,5.5,0,0,1,0.39471598266128255,0.5285714236367347
Free-text,0.5,cross,single_hop,cross,8,4,5.0,0,0,1,1.0,0.999999995
Free-text,0.5,cross,single_hop,cross,8,9,8.0,0,0,1,1.0,0.999999995
Free-text,0.5,cross,multi_hop,cross,9,9,8.0,0,0,1,1.0955059460617961e-07,0.11940298285921146
Free-text,0.5,cross,multi_hop,cross,9,6,8.0,0,0,1,0.019513179361274658,0.1951219472932779
Free-text,0.5,local,single_hop,local,9,9,9.0,0,0,1,1.0,0.999999995
Free-text,0.5,local,single_hop,local,9,8,9.0,0,0,1,1.0,0.999999995
Free-text,0.5,local,multi_hop,local,8,7,8.0,0,0,1,1.0,0.999999995
Free-text,0.5,local,multi_hop,local,8,8,9.0,0,0,1,1.0,0.999999995
Free-text,0.2,local,single_hop,local,8,6,8.0,0,0,1,1.0,0.999999995
Free-text,0.2,local,single_hop,local,9,8,9.0,0,0,0,1.0,0.999999995
