industries,qa_type,question,optionA,optionB,optionC,optionD,optionE,answer,explanation,pairing_explanation,references,pages
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",Reporting Requirements,"When comparing the Apparel, Accessories & Footwear industry with the Coal Operations industry, which of the following is a required disclosure for Coal Operations but not for Apparel, Accessories & Footwear?",Description of environmental risks associated with sourcing raw materials,Percentage of raw materials third-party certified to sustainability standards,Gross global Scope 1 emissions,Number of Tier 1 suppliers,Total fresh water withdrawn,C: Gross global Scope 1 emissions,"The Coal Operations industry is required to disclose gross global Scope 1 emissions (EM-CO-110a.1), while this is not a specified requirement for the Apparel, Accessories & Footwear industry. Both industries have requirements related to environmental risks and water management, but Scope 1 emissions are specifically mandated for Coal Operations due to the carbon-intensive nature of their activities.","Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations']","['8', '43']"
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",Reporting Requirements,"Which of the following disclosures is required for both the Apparel, Accessories & Footwear industry and the Coal Operations industry?",Percentage of raw materials recycled,Total fresh water withdrawn,Number of Tier 1 suppliers,Gross global Scope 1 emissions,Estimated carbon dioxide emissions embedded in proven reserves,B: Total fresh water withdrawn,"Both industries are required to disclose information about water management. For Apparel, Accessories & Footwear, this is part of the environmental risks associated with sourcing raw materials (CG-AA-440a.1). For Coal Operations, it's explicitly required in EM-CO-140a.1. While the specific metrics might differ slightly, both industries need to report on their water usage due to the significant water-related impacts in their operations.","Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations']","['8', '47']"
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",Metric Selection and Calculation,"When preparing sustainability reports, how do the metrics for measuring supply chain sustainability differ between the Apparel, Accessories & Footwear industry and the Coal Operations industry?","Apparel focuses on supplier certifications, while Coal focuses on emissions","Apparel measures water usage, while Coal measures energy consumption","Apparel counts Tier 1 suppliers, while Coal measures reserve levels",Both industries use identical supply chain metrics,"Coal focuses on labor practices, while Apparel focuses on material sourcing","A: Apparel focuses on supplier certifications, while Coal focuses on emissions","The Apparel, Accessories & Footwear industry measures supply chain sustainability through metrics like the percentage of raw materials third-party certified to environmental and/or social sustainability standards (CG-AA-440a.2). In contrast, the Coal Operations industry focuses more on emissions-related metrics, such as gross global Scope 1 emissions (EM-CO-110a.1), reflecting the different nature of sustainability challenges in these industries.","Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations']","['9', '43']"
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",Metric Selection and Calculation,"In sustainability reporting, how does the calculation of water-related metrics differ between the Apparel, Accessories & Footwear industry and the Coal Operations industry?","Apparel reports total water withdrawn, while Coal reports only recycled water","Coal reports water stress, while Apparel does not consider water stress","Apparel reports water quality, while Coal only reports water quantity","Coal reports more detailed water metrics, including stress and quality compliance",Both industries use identical water-related metrics and calculations,"D: Coal reports more detailed water metrics, including stress and quality compliance","The Coal Operations industry has more detailed water-related metrics. It requires reporting on total fresh water withdrawn, percentage recycled, percentage in regions with High or Extremely High Baseline Water Stress (EM-CO-140a.1), and incidents of non-compliance with water quality permits (EM-CO-140a.2). The Apparel industry's water-related disclosures are less specific, mainly covered under the broader environmental risks associated with sourcing raw materials (CG-AA-440a.1).","Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations']","['8', '47-48']"
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",Cross-Industry Comparison,"How do the climate-related risks and reporting challenges differ between the Apparel, Accessories & Footwear industry and the Coal Operations industry?","Apparel faces more regulatory risks, while Coal faces more market risks","Coal faces direct emissions challenges, while Apparel focuses on supply chain emissions","Apparel reports on product lifecycle, while Coal reports on operational efficiency","Coal considers reserve valuation, while Apparel focuses on inventory valuation",Both industries face identical climate-related risks and reporting challenges,"B: Coal faces direct emissions challenges, while Apparel focuses on supply chain emissions","The Coal Operations industry faces significant challenges related to direct emissions, as evidenced by the requirement to report gross global Scope 1 emissions (EM-CO-110a.1) and strategies to manage these emissions (EM-CO-110a.2). In contrast, the Apparel, Accessories & Footwear industry's climate-related challenges are more focused on the supply chain, particularly in sourcing raw materials (CG-AA-440a.1). This reflects the different nature of their operations and their position in the value chain.","Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations']","['8', '43-46']"
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",Cross-Industry Comparison,"Which sustainability reporting challenge is more prominent for the Coal Operations industry compared to the Apparel, Accessories & Footwear industry?",Reporting on labor practices in the supply chain,Disclosing the environmental impact of product packaging,Calculating the carbon footprint of product transportation,Estimating the impact of climate regulation on asset valuation,Reporting on the use of recycled materials in products,D: Estimating the impact of climate regulation on asset valuation,"The Coal Operations industry faces a unique challenge in estimating the impact of climate regulation on asset valuation, as evidenced by the requirement to discuss how price and demand for coal and/or climate regulation influence the capital expenditure strategy for exploration, acquisition, and development of assets (EM-CO-420a.3). This challenge is more prominent for Coal Operations due to the direct link between climate regulation and the long-term viability of coal reserves. The Apparel industry, while facing its own sustainability challenges, does not have this specific requirement related to climate regulation and asset valuation.","Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations']","['8-10', '49-52']"
"['b4-e-commerce', 'b14-oil-and-gas-services']",Reporting Requirements,"When comparing the E-Commerce and Oil & Gas Services industries, which of the following is a required disclosure for E-Commerce companies but NOT for Oil & Gas Services companies?",Total energy consumed,Percentage of renewable energy used,Total water withdrawn,Discussion of environmental considerations in data center planning,Greenhouse gas emissions from product shipments,D: Discussion of environmental considerations in data center planning,E-Commerce companies are required to disclose a discussion of the integration of environmental considerations into strategic planning for data center needs (CG-EC-130a.3). This is specific to the E-Commerce industry due to its reliance on data centers. Oil & Gas Services companies do not have a similar requirement related to data centers in their industry-specific disclosures.,"E-commerce distribution involves significant fuel usage, making a comparison with oil and gas service’s environmental and logistics sustainability useful.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services']","['27', '28', '29', '30']"
"['b4-e-commerce', 'b14-oil-and-gas-services']",Reporting Requirements,Which of the following metrics is required to be disclosed by both E-Commerce and Oil & Gas Services companies according to IFRS industry-based disclosure requirements?,Total greenhouse gas footprint of product shipments,Number of active rig sites,Total fuel consumed,Data processing capacity,Number of shipments,C: Total fuel consumed,"Both E-Commerce (CG-EC-130a.1) and Oil & Gas Services (EM-SV-110a.1) industries are required to disclose total fuel consumed. For E-Commerce, it's part of the energy consumption disclosure, while for Oil & Gas Services, it's specifically mentioned in the fuel consumption metric.","E-commerce distribution involves significant fuel usage, making a comparison with oil and gas service’s environmental and logistics sustainability useful.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services']","['27', '28', '126', '127']"
"['b4-e-commerce', 'b14-oil-and-gas-services']",Metric Selection and Calculation,"When calculating the percentage of renewable energy consumed, which of the following is considered within scope for both E-Commerce and Oil & Gas Services companies?",Grid electricity with renewable energy certificates (RECs),Energy from biomass sources without third-party certification,Renewable energy directly produced on-site with retained RECs,The renewable portion of the electricity grid mix outside the entity's control,Purchased steam from renewable sources,C: Renewable energy directly produced on-site with retained RECs,"Both industries consider renewable energy directly produced on-site as part of their renewable energy calculation, provided that any associated RECs are retained and not sold. This is explicitly stated for E-Commerce (CG-EC-130a.1) and would also apply to Oil & Gas Services (EM-SV-110a.1) when calculating their renewable energy percentage.","E-commerce distribution involves significant fuel usage, making a comparison with oil and gas service’s environmental and logistics sustainability useful.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services']","['28', '126', '127']"
"['b4-e-commerce', 'b14-oil-and-gas-services']",Metric Selection and Calculation,"When comparing water-related metrics for E-Commerce and Oil & Gas Services industries, which of the following is a key difference in their respective calculations?","E-Commerce includes rainwater, while Oil & Gas Services does not","Oil & Gas Services includes flowback water, while E-Commerce does not","E-Commerce calculates water stress, while Oil & Gas Services does not","Oil & Gas Services only considers fresh water, while E-Commerce includes all water types","E-Commerce measures water in cubic meters, while Oil & Gas Services uses gallons","B: Oil & Gas Services includes flowback water, while E-Commerce does not","A key difference in water-related metrics between these industries is that Oil & Gas Services specifically includes flowback water in its water recycling calculations (EM-SV-140a.1). This is unique to the oil and gas industry and is not relevant for E-Commerce water metrics, which focus more on data center and general operational water use (CG-EC-130a.2).","E-commerce distribution involves significant fuel usage, making a comparison with oil and gas service’s environmental and logistics sustainability useful.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services']","['29', '130', '131']"
