industry,qa_type,question,optionA,optionB,optionC,optionD,optionE,answer,reference,page
b10-metals-and-mining,"Factual Retrieval: Questions that require finding and stating specific facts from the document, but without asking what is NOT mentioned or covered in the document.",What are the seven greenhouse gases (GHGs) covered under the Kyoto Protocol that metals and mining companies need to disclose in their Scope 1 emissions?,"Carbon dioxide, methane, nitrous oxide, hydrofluorocarbons, perfluorocarbons, sulfur hexafluoride, and nitrogen trifluoride","Carbon dioxide, methane, nitrous oxide, hydrofluorocarbons, perfluorocarbons, sulfur hexafluoride, and ozone","Carbon dioxide, methane, nitrous oxide, hydrofluorocarbons, perfluorocarbons, sulfur dioxide, and nitrogen trifluoride","Carbon dioxide, methane, nitrous oxide, chlorofluorocarbons, perfluorocarbons, sulfur hexafluoride, and nitrogen trifluoride","Carbon dioxide, methane, nitrous oxide, hydrofluorocarbons, hydrochlorofluorocarbons, sulfur hexafluoride, and nitrogen trifluoride","A. Carbon dioxide, methane, nitrous oxide, hydrofluorocarbons, perfluorocarbons, sulfur hexafluoride, and nitrogen trifluoride",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,82
b10-metals-and-mining,"Factual Retrieval: Questions that require finding and stating specific facts from the document, but without asking what is NOT mentioned or covered in the document.","According to the document, what is the preferred source for global warming potential (GWP) values used in calculating greenhouse gas emissions?",The World Resources Institute (WRI) guidelines,The Intergovernmental Panel on Climate Change (IPCC) Fourth Assessment Report,The Intergovernmental Panel on Climate Change (IPCC) Fifth Assessment Report (2014),The Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard,The United Nations Framework Convention on Climate Change (UNFCCC) guidelines,C. The Intergovernmental Panel on Climate Change (IPCC) Fifth Assessment Report (2014),IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,82
b10-metals-and-mining,"Factual Retrieval: Questions that require finding and stating specific facts from the document, but without asking what is NOT mentioned or covered in the document.",What is the definition of 'renewable energy' according to the Energy Management section of the document?,Energy from sources that are replenished within a human lifetime,Energy from sources that are replenished at a rate greater than or equal to their rate of depletion,Energy from non-fossil fuel sources,Energy from sources that do not produce greenhouse gas emissions,Energy from sources that are naturally occurring and continuously available,B. Energy from sources that are replenished at a rate greater than or equal to their rate of depletion,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,86-87
b10-metals-and-mining,"Factual Retrieval: Questions that require finding and stating specific facts from the document, but without asking what is NOT mentioned or covered in the document.","According to the Water Management section, how is water consumption defined in the context of metals and mining operations?",Water that is used in any part of the mining process,Water that is withdrawn from freshwater sources,"Water that evaporates, is incorporated into products, or does not return to the same catchment area",Water that is contaminated during the mining and processing operations,Water that is recycled and reused within the mining facility,"C. Water that evaporates, is incorporated into products, or does not return to the same catchment area",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,88
b10-metals-and-mining,Multi-hop Reasoning: Questions that require connecting information from multiple parts of the document.,How might a metals and mining company's strategy to manage Scope 1 emissions be affected by both its geographical location and the emissions-limiting regulations in place?,By focusing solely on reducing emissions in regions without regulations,By implementing uniform emission reduction strategies across all operations,By tailoring strategies to specific business units and regional regulations while setting global targets,By ignoring geographical differences and focusing only on global emission targets,By outsourcing high-emission activities to regions with fewer regulations,C. By tailoring strategies to specific business units and regional regulations while setting global targets,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,84-85
b10-metals-and-mining,Multi-hop Reasoning: Questions that require connecting information from multiple parts of the document.,"How does the energy intensity of mining operations relate to deposit grades, and what implications does this have for a company's energy management strategy?","Energy intensity decreases with lower grade deposits, so companies should focus on finding high-grade deposits","Energy intensity increases with lower grade deposits, requiring companies to balance energy efficiency, source selection, and alternative energy use","Energy intensity is unrelated to deposit grades, so companies should focus solely on renewable energy sources","Energy intensity is constant regardless of deposit grades, so companies should prioritize grid electricity","Energy intensity only relates to the depth of mining, not deposit grades, so companies should focus on shallow mining operations","B. Energy intensity increases with lower grade deposits, requiring companies to balance energy efficiency, source selection, and alternative energy use",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,86
b10-metals-and-mining,Multi-hop Reasoning: Questions that require connecting information from multiple parts of the document.,"In the context of water management for metals and mining companies, how do regional water availability and regulatory environments intersect to impact operational risks and strategies?",They have no impact on operational risks or strategies,"They only affect water quality, not quantity management",They influence risks and strategies uniformly across all regions,They create varying levels of risk and require tailored strategies based on local water stress and regulations,They only matter for companies operating in desert regions,D. They create varying levels of risk and require tailored strategies based on local water stress and regulations,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,88-89
b10-metals-and-mining,Multi-hop Reasoning: Questions that require connecting information from multiple parts of the document.,"How do the disclosure requirements for energy consumption, grid electricity usage, and renewable energy use collectively inform stakeholders about a metals and mining company's energy management practices?",They only provide information about the company's carbon footprint,They offer insights into energy efficiency but not sustainability practices,They demonstrate the company's compliance with regulations but not its strategic approach to energy,"They provide a comprehensive view of the company's energy sources, efficiency, and commitment to sustainability",They only matter for companies operating in regions with strict energy regulations,"D. They provide a comprehensive view of the company's energy sources, efficiency, and commitment to sustainability",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,86-87
b10-metals-and-mining,Definition or Explanation: Questions asking to define or explain industry-specific terms or concepts.,"In the Metals & Mining industry, how is 'fresh water' defined for reporting purposes when there is no regulatory definition?",Water that has less than 1000 parts per million of dissolved solids,Water obtained from a water utility in compliance with jurisdictional drinking water regulations,Water that has not been used in any industrial processes,Water sourced directly from natural bodies like rivers and lakes,Water that has a pH level between 6.5 and 8.5,A. Water that has less than 1000 parts per million of dissolved solids,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,88
b10-metals-and-mining,Definition or Explanation: Questions asking to define or explain industry-specific terms or concepts.,What does 'gross emissions' refer to in the context of greenhouse gas (GHG) reporting for metals and mining companies?,"GHGs emitted into the atmosphere before accounting for offsets, credits, or other similar mechanisms",The total amount of GHGs produced by all company operations globally,GHGs emitted after subtracting carbon offsets and credits,"The sum of Scope 1, 2, and 3 emissions",The maximum amount of GHGs allowed under emissions-limiting regulations,"A. GHGs emitted into the atmosphere before accounting for offsets, credits, or other similar mechanisms",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,82
