industry,qa_type,question,optionA,optionB,optionC,optionD,optionE,answer,reference,page
b1-apparel-accessories-and-footwear,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"According to the IFRS S2 Climate-related Disclosures for the Apparel, Accessories & Footwear industry, how should a company calculate the percentage of raw materials third-party certified to an environmental and/or social sustainability standard?",By the number of certified suppliers divided by the total number of suppliers,By the revenue generated from certified materials divided by total revenue,By the weight of certified raw materials divided by the total weight of raw materials,By the cost of certified materials divided by the total cost of raw materials,By the volume of certified materials divided by the total volume of materials,C. By the weight of certified raw materials divided by the total weight of raw materials,"IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear",10
b1-apparel-accessories-and-footwear,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When discussing environmental supply chain risks in the Apparel, Accessories & Footwear industry, which of the following is NOT mentioned as a specific risk in the IFRS S2 Climate-related Disclosures?",Climate change impacts on natural fiber crop production,Legislation on greenhouse gases affecting petroleum-derived raw materials,Tightening environmental regulations for suppliers,Lack of full traceability to the source of raw materials,Fluctuations in currency exchange rates affecting raw material costs,E. Fluctuations in currency exchange rates affecting raw material costs,"IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear",8-9
b1-apparel-accessories-and-footwear,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"According to the IFRS S2 Climate-related Disclosures, if a company identifies cotton as one of its priority raw materials, what specific aspect should it discuss regarding water stress?",The company's water conservation initiatives in cotton production,Its vulnerability to cotton-growing regions with water stress and management of price variability risk,The percentage of cotton sourced from regions with low water stress,Water treatment processes used in cotton production,The company's targets for reducing water usage in cotton cultivation,B. Its vulnerability to cotton-growing regions with water stress and management of price variability risk,"IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear",9
b1-apparel-accessories-and-footwear,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"In the context of Raw Materials Sourcing disclosure for the Apparel, Accessories & Footwear industry, how are 'priority raw materials' defined according to the IFRS S2 Climate-related Disclosures?",Materials that constitute more than 50% of the product's weight,Materials sourced from high-risk environmental regions,Materials essential to products that accounted for 10% or more of consolidated revenue in any of the last three fiscal years,The top five most expensive raw materials used in production,Materials that have the highest environmental impact in the supply chain,C. Materials essential to products that accounted for 10% or more of consolidated revenue in any of the last three fiscal years,"IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear",8
b1-apparel-accessories-and-footwear,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the percentage of raw materials certified to specific sustainability standards, what approach should be taken for materials derived using a certified process?",Exclude them from the calculation,Count them as 50% of their actual weight,Include them only if the final product is also certified,Include them in the scope of raw materials certified to an environmental and/or social standard,Calculate them separately from directly certified materials,D. Include them in the scope of raw materials certified to an environmental and/or social standard,"IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear",10
b1-apparel-accessories-and-footwear,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"In reporting the number of suppliers for the Apparel, Accessories & Footwear industry, how should a company handle data uncertainty for suppliers beyond Tier 1?",Exclude all uncertain data from the report,Only report on Tier 1 suppliers to avoid uncertainty,Use industry averages to fill in gaps,Round all uncertain numbers to the nearest hundred,"Disclose if any supplier data beyond Tier 1 is based on assumptions, estimates, or includes uncertainty","E. Disclose if any supplier data beyond Tier 1 is based on assumptions, estimates, or includes uncertainty","IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear",7
b1-apparel-accessories-and-footwear,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When identifying priority raw materials for disclosure in the Apparel, Accessories & Footwear industry, which financial threshold should be used?",Materials accounting for 5% or more of total costs,Materials used in products that generated 10% or more of consolidated revenue in any of the last three fiscal years,Materials comprising 15% or more of the product's weight,Materials sourced from at least three different countries,Materials with the highest price volatility in the past year,B. Materials used in products that generated 10% or more of consolidated revenue in any of the last three fiscal years,"IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear",8
b1-apparel-accessories-and-footwear,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"What unique challenge does the Apparel, Accessories & Footwear industry face when reporting on raw material sourcing risks related to cotton?",Reporting on fashion trends,Disclosing manufacturing locations,Discussing vulnerability to water stress in cotton-growing regions,Reporting on retail sales figures,Disclosing marketing strategies,C. Discussing vulnerability to water stress in cotton-growing regions,Raw Materials Sourcing,9
b1-apparel-accessories-and-footwear,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"What specific social supply chain risk must companies in the Apparel, Accessories & Footwear industry address in their sustainability reports?",Customer demographics,Employee training programs,Suppliers' animal welfare practices,Brand ambassador selection,Seasonal collection themes,C. Suppliers' animal welfare practices,Raw Materials Sourcing,9
b1-apparel-accessories-and-footwear,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When reporting on raw materials sourcing strategies in the Apparel, Accessories & Footwear industry, which of the following is a unique approach that companies should consider discussing?",Store layout optimization,Customer loyalty programs,Research into alternative materials with less environmental or social risks,Packaging design innovations,Inventory management techniques,C. Research into alternative materials with less environmental or social risks,Raw Materials Sourcing,9
b2-appliance-manufacturing,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing the percentage of eligible products certified to an energy efficiency certification, what should a company do if it has products certified to a previous version of certification requirements?",Ignore the old certifications and only report on current versions,Combine all certifications without distinguishing between versions,"Disclose this information, including version, breakdown, and timeline for current certification",Only report on products with the most current certification,Exclude these products from the disclosure entirely,"C. Disclose this information, including version, breakdown, and timeline for current certification",Product Lifecycle Environmental Impacts,12
b2-appliance-manufacturing,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"In the context of AHAM sustainability standards, how should a company calculate the percentage of eligible products certified?",Total certified products divided by total products manufactured,Revenue from certified products divided by total company revenue,Number of certified product lines divided by total product lines,Revenue from certified products divided by revenue from eligible products,Weight of certified products divided by total product weight,D. Revenue from certified products divided by revenue from eligible products,Product Lifecycle Environmental Impacts,13
b2-appliance-manufacturing,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When describing efforts to manage products' end-of-life impacts, which of the following is NOT mentioned as a consideration to incorporate into product design?",Use of easily recyclable materials,Eliminating hazardous materials,Designing for disassembly,Proper labeling of components,Maximizing product lifespan,E. Maximizing product lifespan,Product Lifecycle Environmental Impacts,13-14
b2-appliance-manufacturing,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When discussing participation in extended producer responsibility (EPR) initiatives, what aspect should a company include in its disclosure?",The cost of implementing EPR initiatives,The number of employees involved in EPR programs,The impact of EPR on product pricing,Whether the initiative is voluntary or mandatory,The marketing strategies used to promote EPR initiatives,D. Whether the initiative is voluntary or mandatory,Product Lifecycle Environmental Impacts,14
b2-appliance-manufacturing,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When disclosing the annual production activity metric (CG-AM-000.A), how should companies present the data?",As a single total number of units produced,As revenue generated from production,As number of units produced by product category,As percentage of market share by product,As production capacity utilization rate,C. As number of units produced by product category,Table 2. Activity Metrics,11
b2-appliance-manufacturing,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"For the metric CG-AM-410a.2, how should a company determine which products are considered 'eligible' for certification to an AHAM sustainability standard?",All products manufactured by the company,Only products that have already been certified,Products that meet minimum energy efficiency requirements,Products addressed by the scope of an AHAM sustainability standard,Products sold in markets where AHAM standards are mandatory,D. Products addressed by the scope of an AHAM sustainability standard,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Appliance Manufacturing,13
b2-appliance-manufacturing,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When describing efforts to manage products' end-of-life impacts (CG-AM-410a.3), which of the following is NOT mentioned as a specific aspect to discuss regarding participation in extended producer responsibility (EPR) initiatives?",Whether the initiative is voluntary or mandatory,If the entity directly conducts product take-back,Performance measures or targets for the initiative,Partnerships with retailers for product recovery,The percentage of products covered by EPR initiatives,E. The percentage of products covered by EPR initiatives,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Appliance Manufacturing,14
b2-appliance-manufacturing,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When reporting on product lifecycle environmental impacts, which of the following is NOT considered a key aspect for appliance manufacturers to address?",Energy efficiency certifications,AHAM sustainability standards,End-of-life product management,Carbon offsetting programs,Product differentiation strategies,D. Carbon offsetting programs,Product Lifecycle Environmental Impacts,12
b2-appliance-manufacturing,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When reporting on AHAM sustainability standard certifications (CG-AM-410a.2), how should a company handle updates or additions to the scope of AHAM sustainability standards?",Ignore new standards until the next reporting cycle,Only report on standards that existed at the beginning of the fiscal year,Exclude new standards to maintain consistency with previous reports,Include new standards as additions to the scope of disclosure,Consult with AHAM before deciding whether to include new standards,D. Include new standards as additions to the scope of disclosure,Product Lifecycle Environmental Impacts,13
b2-appliance-manufacturing,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When reporting on efforts to manage products' end-of-life impacts in the Appliance Manufacturing industry, which of the following presents a unique challenge specific to this sector?",Developing biodegradable electronic components,Implementing take-back programs for large household appliances,Ensuring compliance with food safety regulations,Reporting on the carbon emissions of retail stores,Measuring the impact of product usage on indoor air quality,B. Implementing take-back programs for large household appliances,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Appliance Manufacturing,13-14
b3-building-products-and-furnishings,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing the percentage of renewable energy consumed, which of the following is NOT considered within the scope of renewable energy for a building products company?",Renewable fuel the entity consumed,Renewable energy the entity directly produced,Renewable energy purchased through a PPA with explicit RECs,The renewable portion of the electricity grid mix outside the entity's control,Green-e Energy Certified utility program purchases,D. The renewable portion of the electricity grid mix outside the entity's control,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings,17
b3-building-products-and-furnishings,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When reporting on product lifecycle environmental impacts, which of the following is NOT mentioned as a relevant strategy for managing these impacts?",Changes in materials selection,Use of recycled materials,Design for product take-back,Optimization of packaging,Increasing product complexity to improve durability,E. Increasing product complexity to improve durability,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings,18
b3-building-products-and-furnishings,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"In the context of wood supply chain management, which of the following is NOT considered a third-party forest management standard mentioned in the IFRS sustainability reporting guidelines?",Forest Stewardship Council (FSC),Programme for the Endorsement of Forest Certification (PEFC),Sustainable Forest Initiative (SFI),American Tree Farm (ATF),International Organization for Standardization (ISO) 14001,E. International Organization for Standardization (ISO) 14001,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings,22-23
b3-building-products-and-furnishings,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When calculating the percentage of recovered materials recycled, which of the following is NOT considered as recycled or remanufactured according to IFRS sustainability reporting standards?",Materials that are reused for the same purpose,Materials that are reclaimed to recover a usable product,Primary recycled materials,Co-products of equal value to primary recycled materials,Materials incinerated for energy recovery,E. Materials incinerated for energy recovery,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings,20
b3-building-products-and-furnishings,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the percentage of renewable energy consumed, which of the following sources should be excluded from the scope according to IFRS sustainability reporting standards?",Renewable fuel consumed by the entity,Renewable energy directly produced by the entity,Renewable energy purchased through a power purchase agreement with RECs,Renewable portion of the electricity grid mix outside the entity's control,Green-e Energy Certified utility program purchases,D. Renewable portion of the electricity grid mix outside the entity's control,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,17
b3-building-products-and-furnishings,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When disclosing the weight of end-of-life materials recovered, which of the following should NOT be included in the scope?",Materials collected through recycling services,Products recovered through take-back programs,Materials recovered through refurbishment services,Products collected for in-warranty repairs,Materials collected by third parties under contract for reuse,D. Products collected for in-warranty repairs,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,19-20
b3-building-products-and-furnishings,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the percentage of wood fiber materials certified to third-party forest management standards, how should materials certified to multiple standards be accounted for?",Count each certification separately,Count only the most stringent certification,Count only once in the total percentage,Exclude these materials from the calculation,Apply a weighted average based on certification importance,C. Count only once in the total percentage,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,23
b3-building-products-and-furnishings,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the total energy consumed for sustainability reporting in the Building Products & Furnishings industry, which of the following energy sources should NOT be included?",Purchased electricity from external sources,Direct fuel usage on-site,Self-generated energy produced by the entity,Heating and cooling energy,Energy consumed by the entity's suppliers,E. Energy consumed by the entity's suppliers,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings,16-17
b3-building-products-and-furnishings,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,A building products company is struggling to accurately report on its renewable energy consumption. Which of the following scenarios would NOT be considered renewable energy consumption according to the IFRS S2 Climate-related Disclosures?,Energy from on-site solar panels with retained RECs,Purchased electricity through a Green-e Energy Certified utility program,Biomass energy from Forest Stewardship Council certified materials,Renewable energy from the standard electricity grid mix,Energy from a renewable PPA with explicitly included RECs,D. Renewable energy from the standard electricity grid mix,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings,17
b3-building-products-and-furnishings,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,A furnishings manufacturer is implementing a product take-back program. Which of the following materials recovered through this program should NOT be included in the company's disclosure of end-of-life material recovery?,Products collected by third-party contractors for recycling,Materials from products refurbished by the company,Components recovered for reuse in new products,Products collected and repaired under warranty,Materials collected but sent for energy recovery,D. Products collected and repaired under warranty,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings,19-20
