industries,qa_type,question,optionA,optionB,optionC,optionD,optionE,answer,pairing_explanation,reference_text,pages
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",single_hop,"Give me all the metrics from Table 1 that are in category 'Discussion and Analysis' for Apparel, Accessories & Footwear and Coal Operations industries.","EM-CO-110a.2, EM-CO-420a.3","CG-AA-440a.1, EM-CO-110a.2, EM-CO-420a.3","EM-CO-110a.2, EM-CO-420a.1, EM-CO-420a.3","CG-AA-440a.1, EM-CO-110a.2, EM-CO-420a.3, EM-CO-420a.1",<UNKNOWN>,optionB,"Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","['CG-AA-440a.1. Description of environmental and social risks associated with sourcing priority raw materials', 'EM-CO-110a.2. Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets', 'EM-CO-420a.3. Discussion of how price and demand for coal and/or climate regulation influence the capital expenditure strategy for exploration, acquisition, and development of assets']","['8', '45', '51']"
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",single_hop,"List the activity metrics for Apparel, Accessories & Footwear and Coal Operations industries.","Number of (1) Tier 1 suppliers and (2) suppliers beyond Tier 1, Production of thermal coal, Production of metallurgical coal",Number of (1) Tier 1 suppliers and (2) suppliers beyond Tier 1,"Production of thermal coal, Production of metallurgical coal",<UNKNOWN>,Number of (1) Tier 1 suppliers,optionA,"Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","['Number of (1) Tier 1 suppliers and (2) suppliers beyond Tier 1 ¹', 'Production of thermal coal, Production of metallurgical coal']","['7', '52']"
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",single_hop,"Compare the number of quantitative metrics between Apparel, Accessories & Footwear and Coal Operations industries.","The Apparel, Accessories & Footwear industry has more quantitative metrics than the Coal Operations industry.","The Coal Operations industry has more quantitative metrics than the Apparel, Accessories & Footwear industry.",Both industries have the same number of quantitative metrics.,<UNKNOWN>,"The Apparel, Accessories & Footwear industry does not have any quantitative metrics.",optionB,"Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","['For the Apparel, Accessories & Footwear industry, there is 1 quantitative metric: CG-AA-440a.2', 'For the Coal Operations industry, there are 5 quantitative metrics: EM-CO-110a.1, EM-CO-140a.1, EM-CO-140a.2, EM-CO-420a.1, EM-CO-420a.2']","['6-10', '42-52']"
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",single_hop,"Are there any common sustainability topics betweenApparel, Accessories & Footwear and Coal Operations industries?","Yes, both industries share the sustainability topic of greenhouse gas emissions.","No, there are no common sustainability topics between the two industries.","Yes, both industries share the sustainability topics of raw materials sourcing and water management.","Yes, both industries share the sustainability topic of reserves valuation and capital expenditures.",<UNKNOWN>,optionA,"Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","['For Apparel, Accessories & Footwear, the sustainability topics are: Raw Materials Sourcing', 'For Coal Operations, the sustainability topics are: Greenhouse Gas Emissions, Water Management, Reserves Valuation & Capital Expenditures']","['6', '43']"
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",multi_hop,"When preparing sustainability reports, how do the reporting requirements for describing the strategy or plan to manage Scope 1 emissions differ between the Apparel, Accessories & Footwear and Coal Operations industries?","For the Apparel, Accessories & Footwear industry, there is no requirement to describe the strategy or plan for managing Scope 1 emissions. For Coal Operations, the requirement is to discuss the long-term and short-term strategy or plan to manage Scope 1 emissions, including emissions reduction targets and analysis of performance against those targets.","The reporting requirements are exactly the same for both industries - they must discuss their long-term and short-term strategy or plan for managing Scope 1 emissions, targets, and performance analysis.","For Apparel, Accessories & Footwear, the requirement is to discuss strategies for reducing emissions from raw materials sourcing. For Coal Operations, the requirement is to discuss the overall strategy for managing Scope 1 emissions including targets and performance.","For Apparel, Accessories & Footwear, there is no emissions reporting requirement. For Coal Operations, the only requirement is to disclose the gross global Scope 1 emissions amount.",There are no differing requirements between the two industries when it comes to describing emissions management strategies.,C,"Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","['For the Apparel, Accessories & Footwear industry: CG-AA-440a.1. Description of environmental and social risks associated with sourcing priority raw materials...8.1 Relevant strategies to discuss include: due diligence practices, supply chain auditing, partnerships with industry groups or nongovernmental development organizations, using substitute materials, research and development into materials with less environmental or social risks, supplier diversification, implementing supply chain codes of conduct, training or engagement programs, supplier audits and/or certifications, and research into the full traceability of material sources, among other strategies.', 'For the Coal Operations industry: EM-CO-110a.2. Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets']",['43-46']
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",multi_hop,"Give me the codes for all the 'Quantitative' metrics in Table 1 for the Apparel, Accessories & Footwear and Coal Operations industries.","CG-AA-440a.2, EM-CO-110a.1, EM-CO-140a.1, EM-CO-140a.2, EM-CO-420a.1, EM-CO-420a.2","CG-AA-440a.2, EM-CO-000.A, EM-CO-000.B, EM-CO-110a.1, EM-CO-140a.1, EM-CO-140a.2, EM-CO-420a.1, EM-CO-420a.2","CG-AA-440a.2, EM-CO-110a.1, EM-CO-140a.1, EM-CO-420a.1, EM-CO-420a.2","CG-AA-000.A, EM-CO-000.A, EM-CO-000.B, EM-CO-110a.1, EM-CO-140a.1, EM-CO-140a.2, EM-CO-420a.1, EM-CO-420a.2","CG-AA-440a.1, CG-AA-440a.2, EM-CO-110a.1, EM-CO-140a.1, EM-CO-140a.2, EM-CO-420a.1, EM-CO-420a.2",B,"Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","['From Table 1 for Apparel, Accessories & Footwear: Quantitative metrics are CG-AA-440a.2', 'From Table 2 for Apparel, Accessories & Footwear: Quantitative metric is CG-AA-000.A', 'From Table 1 for Coal Operations: Quantitative metrics are EM-CO-110a.1, EM-CO-140a.1, EM-CO-140a.2, EM-CO-420a.1, EM-CO-420a.2', 'From Table 2 for Coal Operations: Quantitative metrics are EM-CO-000.A, EM-CO-000.B']","['7-10', '42']"
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",multi_hop,"What units of measurement are used across the Apparel, Accessories & Footwear and Coal Operations industries for measuring water usage?","Thousand cubic meters, Percentage","Cubic meters, Percentage","Gallons, Percentage","Liters, Percentage",No common units of measurement for water usage across the two industries.,A,"Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","['For Apparel, Accessories & Footwear: No metrics related to water usage', 'For Coal Operations: EM-CO-140a.1. (1) Total fresh water withdrawn, (2) percentage recycled, (3) percentage in regions with High or Extremely High Baseline Water Stress ... 1 The entity shall disclose the amount of water, in thousands of cubic meters, that was withdrawn from freshwater sources: ... 2 The entity shall disclose the percentage of water recycled as the volume, in thousands of cubic meters, recycled divided by the volume of water withdrawn.']","['9', '47']"
"['b1-apparel-accessories-and-footwear', 'b7-coal-operations']",multi_hop,"Are there any common sustainability topics between the Apparel, Accessories & Footwear and Coal Operations industries according to Table 1, and if so, what are the differences in their reporting requirements?","Yes, both industries have reporting requirements related to greenhouse gas emissions, but the specific metrics and reporting details differ between the two industries.","No, there are no common sustainability topics with reporting requirements across the two industries based on Table 1.","Yes, both have identical reporting requirements for water management.","Yes, both have the same reporting requirements for raw materials sourcing and reserves valuation.","Yes, the reporting requirements are exactly the same across all sustainability topics for both industries.",A,"Both industries are heavily reliant on global supply chains that pose significant environmental and social sustainability challenges, including labor practices and carbon emissions.","[""For Apparel, Accessories & Footwear, Table 1 shows the topic 'Raw Materials Sourcing' with metrics like CG-AA-440a.1 and CG-AA-440a.2"", ""For Coal Operations, Table 1 shows the topic 'Greenhouse Gas Emissions' with metrics like EM-CO-110a.1 and EM-CO-110a.2""]","['7-10', '42-52']"
"['b7-coal-operations', 'b14-oil-and-gas-services']",single_hop,List the activity metrics for Oil & Gas-Services and Coal Operations industries.,"For Oil & Gas-Services industry: Number of active rig sites, Number of active well sites, Total amount of drilling performed, Total number of hours worked by all employees. For Coal Operations industry: Production of thermal coal, Production of metallurgical coal.","For Oil & Gas-Services industry: Total fuel consumed, percentage renewable, percentage used in on-road and off-road equipment, percentage of engines meeting emissions standards. For Coal Operations industry: Gross global Scope 1 emissions, percentage covered under emissions regulations.","For Oil & Gas-Services industry: Total volume of fresh water handled, percentage recycled. For Coal Operations industry: Total fresh water withdrawn, percentage recycled, percentage in high/extremely high water stress regions.",For Oil & Gas-Services industry: There are no activity metrics specified. For Coal Operations industry: There are no activity metrics specified.,For both industries: There are no activity metrics specified.,optionA,"Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['Table 2. Activity Metrics: ACTIVITY METRIC | CATEGORY | UNIT OF MEASURE | CODE, Number of active rig sites ¹⁷ | Quantitative | Number | EM-SV-000.A, Number of active well sites ¹⁸ | Quantitative | Number | EM-SV-000.B, Total amount of drilling performed | Quantitative | Meters (m) | EM-SV-000.C, Total number of hours worked by all employees | Quantitative | Hours | EM-SV-000.D', 'Table 2. Activity Metrics: ACTIVITY METRIC | CATEGORY | UNIT OF MEASURE | CODE, Production of thermal coal | Quantitative | Million metric tons (Mt) | EM-CO-000.A, Production of metallurgical coal | Quantitative | Million metric tons (Mt) | EM-CO-000.B']","['124-125_b14', '42_b7']"
"['b7-coal-operations', 'b14-oil-and-gas-services']",single_hop,Are there any common sustainability topics between Oil & Gas-Services and Coal Operations industries?,"Yes, the common sustainability topics are Emissions Reduction and Fuels Management for Oil & Gas-Services industry and Greenhouse Gas Emissions for Coal Operations industry.","Yes, the common sustainability topic is Water Management for both industries.","No, there are no common sustainability topics between the two industries.","Yes, the common sustainability topic is Reserves Valuation & Capital Expenditures for both industries.","Yes, the common sustainability topics are Emissions Reduction Services & Fuels Management and Water Management Services for Oil & Gas-Services industry, and Greenhouse Gas Emissions and Water Management for Coal Operations industry.",optionB,"Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['TOPIC: Water Management Services', 'TOPIC: Water Management']","['130_b14', '47_b7']"
