industry,qa_type,question,optionA,optionB,optionC,optionD,answer,reference_text,pages
b1-apparel-accessories-and-footwear,multi_hop,"What is the code of the 'Raw Materials Sourcing' metric related to third-party certification in the Apparel, Accessories & Footwear industry, and how should this metric be calculated?","CG-AA-440a.1, calculated as the percentage of raw materials certified by weight","CG-AA-440a.2, calculated as the percentage of raw materials certified by volume","CG-AA-440a.2, calculated as the percentage of raw materials certified by weight","CG-AA-000.A, calculated as the number of suppliers certified",C,"['CG-AA-440a.2. Percentage of raw materials third-party certified to an environmental and/or social sustainability standard, by standard', ""The entity shall calculate the percentage as the weight of raw materials third-party certified to an environmental and/or social standard divided by the total weight of raw materials that compose the entity's finished products.""]","['9', '10']"
b1-apparel-accessories-and-footwear,multi_hop,"What is the category of the 'Raw Materials Sourcing' metric related to environmental and social risks in the Apparel, Accessories & Footwear industry, and how should this metric be disclosed?","Quantitative, disclosed as a percentage of suppliers audited","Discussion and Analysis, disclosed as a description of risks and management approach","Quantitative, disclosed as the number of risk incidents reported","Discussion and Analysis, disclosed as a list of certified suppliers",B,"['CG-AA-440a.1. Description of environmental and social risks associated with sourcing priority raw materials', 'The entity shall discuss its strategic approach to managing environmental and social risks that arise from sourcing priority raw materials', 'Disclosure shall include the methodology of how the entity identified priority raw materials.', 'The entity shall discuss its approach to managing risks associated with the use of raw materials in its products, including physical limits on availability, access, price, and reputational risks.']","['8', '9']"
b1-apparel-accessories-and-footwear,multi_hop,"Can you provide the unit of measure for all the metrics for the 'Raw Materials Sourcing' topic in the Apparel, Accessories & Footwear industry, and how should these metrics be calculated?","Percentage (%) for both metrics, calculated by number of suppliers certified","n/a for the first metric and Percentage (%) for the second, calculated by weight of materials certified","Number for both metrics, calculated by counting certified materials","Discussion for the first metric and Number for the second, calculated by counting certified suppliers",B,"['Description of environmental and social risks associated with sourcing priority raw materials | Discussion and Analysis | n/a | CG-AA-440a.1', 'Percentage of raw materials third-party certified to an environmental and/or social sustainability standard, by standard | Quantitative | Percentage (%) by weight | CG-AA-440a.2', ""The entity shall calculate the percentage as the weight of raw materials third-party certified to an environmental and/or social standard divided by the total weight of raw materials that compose the entity's finished products.""]","['7', '9']"
b1-apparel-accessories-and-footwear,multi_hop,"What topics are covered in the 'Raw Materials Sourcing' section of the Apparel, Accessories & Footwear document, and what are the key takeaways for a company writing its sustainability report in this industry?",Only environmental risks; key takeaway is to focus on reducing water usage in cotton production,Environmental and social risks; key takeaway is to disclose third-party certifications by percentage of total raw materials,Supply chain management; key takeaway is to list all Tier 1 and beyond Tier 1 suppliers,"Environmental and social risks, strategic approach, and third-party certifications; key takeaways include discussing risks, management strategies, and disclosing certified material percentages",D,"[""The Apparel, Accessories & Footwear industry relies on numerous raw materials as key inputs for finished products, including cotton, leather, wool, rubber, and precious minerals and metals. Sustainability impacts related to climate change, land use, resource scarcity, and conflict in regions where the industry's supply chain operates are increasingly shaping the industry's ability to source materials."", 'The entity shall discuss its strategic approach to managing environmental and social risks that arise from sourcing priority raw materials', 'The entity shall discuss its approach to managing risks associated with the use of raw materials in its products, including physical limits on availability, access, price, and reputational risks.', 'The entity shall disclose the percentage of raw materials that are third-party certified to an environmental or social sustainability standard.']","['8', '9', '10']"
b2-appliance-manufacturing,single_hop,What category of activity metric is used for reporting annual production in the Appliance Manufacturing industry?,Qualitative,Quantitative,Discussion and Analysis,Percentage,B,['Annual production ² | Quantitative | Number of units | CG-AM-000.A'],['11']
b2-appliance-manufacturing,single_hop,"For the listed Product Lifecycle Environmental Impacts requirement, what metric should a company in the Appliance Manufacturing industry use for energy efficiency certification?",Percentage of eligible products by revenue,Number of certified products,Total energy savings from certified products,Market share of certified products,A,['Percentage of eligible products by revenue certified to an energy efficiency certification | Quantitative | Percentage (%) by revenue | CG-AM-410a.1'],['11']
b2-appliance-manufacturing,single_hop,What is the code of the metric related to efforts to manage products' end-of-life impacts in the Appliance Manufacturing industry?,CG-AM-410a.1,CG-AM-410a.2,CG-AM-410a.3,CG-AM-000.A,C,"[""Description of efforts to manage products' end-of-life impacts | Discussion and Analysis | n/a | CG-AM-410a.3""]",['11']
b2-appliance-manufacturing,single_hop,"For the listed requirement on managing products' end-of-life impacts, what does a company in the Appliance Manufacturing industry need to do regarding extended producer responsibility (EPR) initiatives?",Only report on mandatory EPR initiatives,"Discuss participation in EPR initiatives, including voluntary or mandatory nature and performance measures",Focus solely on product take-back programs,Report on EPR initiatives only if they are profitable,B,"['The entity shall discuss its participation in extended producer responsibility (EPR) initiatives, including the following aspects:', '4.1    Whether the entity directly conducts product take-back, recovery, and recycling or if the entity supports infrastructure for product recovery and recycling through joint ventures, partnerships with retailers and others, or by funding research into recycling technologies', '4.2    Whether the initiative is voluntary or mandatory (e.g., in order to maintain compliance with EU Directive 2012/19/EU on waste electrical and electronic equipment (WEEE) or the Japan home appliance recycling law)', '4.3    Relevant performance measures or targets for the initiative such as the total amount of material recovered and the total amount of material recycled']","['13', '14']"
b2-appliance-manufacturing,multi_hop,"What is the category of the 'Percentage of eligible products by revenue certified to an energy efficiency certification' metric in the Appliance Manufacturing industry, and how should this metric be calculated?",Quantitative; Calculate as the revenue from certified products divided by total revenue from all products,Quantitative; Calculate as the revenue from products meeting certification requirements divided by total revenue from eligible products for each certification,Discussion and Analysis; Provide a narrative description of energy efficiency certifications obtained,Qualitative; List all energy efficiency certifications achieved without calculating percentages,B,"['CG-AM-410a.1. Percentage of eligible products by revenue certified to the an energy efficiency certification', '1 The entity shall disclose the percentage of its revenue from eligible products certified to an energy efficiency certification.', '1.1 The entity shall calculate the percentage as the revenue from products meeting the requirements for the applicable certification divided by total revenue from products eligible for certification by each certification.', '1.1.1 Eligible products are those in a product category for which certification exists, including but not limited to: heating and cooling product categories such as air purifiers, clothes dryers, clothes washers, dehumidifiers, dishwashers, freezers, refrigerators, air conditioning, boilers, ductless heating and cooling, furnaces, heat pumps, and ventilation fans.']",['12']
b2-appliance-manufacturing,multi_hop,"What is the code of the 'Percentage of eligible products certified to an Association of Home Appliance Manufacturers (AHAM) sustainability standard' metric in the Appliance Manufacturing industry, and how should this metric be disclosed?",CG-AM-410a.1; Disclose the percentage of revenue from all products certified to any sustainability standard,CG-AM-410a.3; Provide a narrative description of AHAM sustainability standards achieved,"CG-AM-410a.2; Disclose the percentage of revenue from eligible products certified to AHAM sustainability standards, calculated as certified product revenue divided by total eligible product revenue",CG-AM-000.A; Report the number of units produced that are certified to AHAM sustainability standards,C,"['CG-AM-410a.2. Percentage of eligible products certified to an Association of Home Appliance Manufacturers (AHAM) sustainability standard', '1 The entity shall disclose the percentage of its revenue from eligible products certified to an Association of Home Appliance Manufacturers (AHAM) sustainability standard.', '1.1 Eligible products are those addressed by the scope of an AHAM sustainability standard.', '1.2 The entity shall calculate the percentage as the revenue from products certified to an AHAM sustainability standard divided by total revenue from products eligible for certification to an AHAM sustainability standard.']",['13']
