Question Type,Temperature,Method,Hop Type,Industry Type,Specificity,Faithfulness,Relevancy,Single Best Answer,Negative Questions,Multi-hop Questions
MCQ,0.5,old,single_hop,old,9,9,10.0,1,0,1
MCQ,0.5,old,single_hop,old,4,8,9.0,1,0,0
MCQ,0.5,old,single_hop,old,7,10,10.0,0,0,0
MCQ,0.5,old,single_hop,old,8,10,9.0,1,0,0
MCQ,0.5,old,single_hop,old,8,3,2.0,1,0,0
MCQ,0.5,old,single_hop,old,9,10,10.0,0,0,0
MCQ,0.5,old,single_hop,old,9,2,2.0,1,0,0
MCQ,0.5,old,multi_hop,old,9,10,10.0,1,0,0
MCQ,0.5,old,multi_hop,old,5,7,8.0,1,1,0
MCQ,0.5,old,multi_hop,old,9,10,10.0,1,0,0
MCQ,0.5,old,multi_hop,old,5,7,8.0,1,1,0
MCQ,0.5,old,multi_hop,old,4,4,3.0,1,0,0
MCQ,0.5,old,multi_hop,old,8,4,3.0,1,0,0
MCQ,0.5,old,multi_hop,old,9,10,10.0,1,0,0
MCQ,0.0,old,single_hop,old,8,9,8.0,1,0,0
MCQ,0.0,old,single_hop,old,8,8,9.0,0,0,0
MCQ,0.0,old,single_hop,old,9,10,10.0,0,0,0
MCQ,0.0,old,single_hop,old,8,10,9.0,1,0,0
MCQ,0.0,old,single_hop,old,8,8,9.0,1,1,0
MCQ,0.0,old,single_hop,old,8,5,9.0,0,0,0
MCQ,0.0,old,single_hop,old,10,10,10.0,1,0,0
MCQ,0.0,old,multi_hop,old,9,3,2.0,1,0,0
MCQ,0.0,old,multi_hop,old,5,7,8.0,1,0,0
MCQ,0.0,old,multi_hop,old,5,10,10.0,1,0,0
MCQ,0.0,old,multi_hop,old,8,10,10.0,1,0,0
MCQ,0.0,old,multi_hop,old,10,5,10.0,1,0,0
MCQ,0.0,old,multi_hop,old,5,8,9.0,1,1,0
MCQ,0.0,old,multi_hop,old,8,8,9.0,1,1,0
MCQ,0.2,old,single_hop,old,8,10,10.0,0,0,1
MCQ,0.2,old,single_hop,old,8,9,8.0,1,0,0
MCQ,0.2,old,single_hop,old,9,8,10.0,1,0,0
MCQ,0.2,old,single_hop,old,10,10,10.0,1,0,0
MCQ,0.2,old,single_hop,old,9,10,10.0,1,0,1
MCQ,0.2,old,single_hop,old,8,5,9.0,0,0,0
MCQ,0.2,old,single_hop,old,9,8,9.0,0,0,0
MCQ,0.2,old,multi_hop,old,10,10,10.0,1,0,0
MCQ,0.2,old,multi_hop,old,10,10,10.0,1,0,0
MCQ,0.2,old,multi_hop,old,10,10,10.0,1,0,0
MCQ,0.2,old,multi_hop,old,9,10,10.0,1,0,0
MCQ,0.2,old,multi_hop,old,5,9,8.0,0,0,0
MCQ,0.2,old,multi_hop,old,7,8,9.0,1,0,0
MCQ,0.2,old,multi_hop,old,10,10,10.0,0,0,0
MCQ,1.0,old,single_hop,old,8,4,5.0,0,0,0
MCQ,1.0,old,single_hop,old,8,10,10.0,1,0,0
MCQ,1.0,old,single_hop,old,9,10,10.0,1,0,1
MCQ,1.0,old,single_hop,old,8,8,9.0,1,0,0
MCQ,1.0,old,single_hop,old,8,10,10.0,1,0,0
MCQ,1.0,old,single_hop,old,7,8,9.0,0,0,0
MCQ,1.0,old,single_hop,old,6,10,10.0,1,0,0
MCQ,1.0,old,multi_hop,old,7,9,10.0,1,1,0
MCQ,1.0,old,multi_hop,old,6,10,10.0,0,0,0
MCQ,1.0,old,multi_hop,old,3,6,7.0,1,0,0
MCQ,1.0,old,multi_hop,old,8,10,10.0,1,0,0
MCQ,1.0,old,multi_hop,old,5,4,3.0,1,1,0
MCQ,1.0,old,multi_hop,old,8,10,10.0,0,0,0
MCQ,1.0,old,multi_hop,old,8,10,10.0,1,0,0
MCQ,1.0,new,multi_hop,new,8,3,2.0,1,1,0
MCQ,1.0,new,multi_hop,new,9,10,10.0,0,0,0
MCQ,1.0,new,multi_hop,new,9,10,10.0,1,0,0
MCQ,1.0,new,multi_hop,new,5,10,10.0,1,0,0
MCQ,1.0,new,multi_hop,new,8,9,8.0,1,1,0
MCQ,1.0,new,multi_hop,new,6,6,8.0,0,0,0
MCQ,1.0,new,multi_hop,new,7,3,2.0,1,1,0
MCQ,0.2,new,single_hop,new,6,7,8.0,1,0,0
MCQ,0.2,new,single_hop,new,10,10,10.0,1,0,0
MCQ,0.2,new,single_hop,new,9,10,10.0,1,0,0
MCQ,0.2,new,single_hop,new,6,6,8.0,1,1,0
MCQ,0.2,new,single_hop,new,10,10,10.0,0,0,0
MCQ,0.2,new,single_hop,new,10,10,10.0,1,0,0
MCQ,0.2,new,single_hop,new,8,10,10.0,1,1,0
MCQ,0.2,new,multi_hop,new,9,10,10.0,1,0,0
MCQ,0.2,new,multi_hop,new,9,10,10.0,0,0,0
MCQ,0.2,new,multi_hop,new,10,10,10.0,1,0,0
MCQ,0.2,new,multi_hop,new,6,10,10.0,1,0,0
MCQ,0.2,new,multi_hop,new,5,6,8.0,1,1,0
MCQ,0.2,new,multi_hop,new,8,3,2.0,1,1,0
MCQ,0.2,new,multi_hop,new,8,3,2.0,0,1,0
MCQ,0.5,new,single_hop,new,8,10,10.0,0,0,0
MCQ,0.5,new,single_hop,new,9,10,10.0,1,0,0
MCQ,0.5,new,single_hop,new,10,10,10.0,1,0,0
MCQ,0.5,new,single_hop,new,9,10,9.0,1,0,0
MCQ,0.5,new,single_hop,new,10,10,10.0,1,0,0
MCQ,0.5,new,single_hop,new,9,9,10.0,1,0,0
MCQ,0.5,new,single_hop,new,9,8,9.0,1,1,0
MCQ,0.5,new,multi_hop,new,6,8,9.0,0,0,0
MCQ,0.5,new,multi_hop,new,9,10,10.0,0,0,0
MCQ,0.5,new,multi_hop,new,7,6,8.0,0,1,0
MCQ,0.5,new,multi_hop,new,4,4,3.0,1,1,0
MCQ,0.5,new,multi_hop,new,10,10,10.0,1,0,0
MCQ,0.5,new,multi_hop,new,10,10,10.0,1,0,0
MCQ,0.5,new,multi_hop,new,8,10,9.0,1,0,0
MCQ,0.0,new,single_hop,new,7,8,9.0,0,1,0
MCQ,0.0,new,single_hop,new,8,7,8.0,1,1,0
MCQ,0.0,new,single_hop,new,6,8,9.0,1,1,0
MCQ,0.0,new,single_hop,new,8,10,10.0,1,0,0
MCQ,0.0,new,single_hop,new,9,10,10.0,0,0,0
MCQ,0.0,new,single_hop,new,6,10,10.0,1,0,0
MCQ,0.0,new,single_hop,new,8,9,8.0,0,1,0
MCQ,0.0,new,multi_hop,new,8,1,2.0,1,1,1
MCQ,0.0,new,multi_hop,new,8,9,9.0,1,1,0
MCQ,0.0,new,multi_hop,new,4,6,8.0,1,1,1
MCQ,0.0,new,multi_hop,new,9,10,10.0,1,1,1
MCQ,0.0,new,multi_hop,new,9,8,9.0,0,0,0
MCQ,0.0,new,multi_hop,new,10,10,10.0,1,0,0
MCQ,0.0,new,multi_hop,new,8,10,9.0,1,0,0
MCQ,1.0,new,single_hop,new,8,6,8.0,0,0,0
MCQ,1.0,new,single_hop,new,10,10,10.0,1,0,0
MCQ,1.0,new,single_hop,new,9,10,10.0,1,0,0
MCQ,1.0,new,single_hop,new,9,10,10.0,1,0,0
MCQ,1.0,new,single_hop,new,9,10,10.0,0,1,0
MCQ,1.0,new,single_hop,new,9,10,10.0,1,0,0
MCQ,1.0,new,single_hop,new,9,9,8.0,1,0,0
