qa_type,temperature,question1,question2,similarity
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,0.67477536
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,0.20437597
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",0.25944033
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,0.17369065
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What is the entity's average refrigerant emissions rate?,0.18057248
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,0.17535952
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What percentage of the entity's revenue is from eggs that originated from a cage-free environment?,0.2214672
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What is the definition of Scope 1 emissions according to the SASB standards?,0.12844254
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What is the definition of alternative fuel according to the SASB standards?,0.02196728
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What is the definition of sustainable fuel according to the SASB standards?,0.06448904
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What is the definition of the TR-AF-430a.1 metric according to the SASB standards?,0.043176748
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What is the percentage of the entity's gross global Scope 1 greenhouse gas emissions that are from methane?,0.18193993
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,Which of the following is NOT an example of an emissions-limiting regulation covered under EM-MD-110a.1?,0.13088682
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,Which of the following is NOT a category of emissions that the entity may discuss in its strategy or plan to manage Scope 1 emissions under EM-MD-110a.2?,0.18128508
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,"Under EM-MD-110a.2, which of the following is NOT a required element for the entity to discuss regarding its emission reduction targets?",0.053569652
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What is the total energy consumed by companies in the Aerospace & Defense industry?,0.23071116
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What percentage of the energy consumed by companies in the Aerospace & Defense industry is grid electricity?,0.21174097
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What percentage of the energy consumed by companies in the Aerospace & Defense industry is renewable energy?,0.2091355
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What type of alternative energy-related products do companies in the Aerospace & Defense industry sell?,0.13498372
